ye,frm,cla,co,mshare,mshare_0,delta,cy,hp,hp_weight,size,pl,sp,ac,pr,nest_share,mshare_within,blp_inst_own_size,blp_inst_comp_size,blp_inst_own_hp_weight,blp_inst_comp_hp_weight,blp_inst_own_pl,blp_inst_comp_pl,p_elast_logit,p_elast_nestedlogit,frm_d1,frm_d2,frm_d3,frm_d4,frm_d5,frm_d6,frm_d7,frm_d8,frm_d9,frm_d10,frm_d11,frm_d12,frm_d13,frm_d14,frm_d15,frm_d16,frm_d17,frm_d18
91,12,5,134,.0017766191,.96551061,-6.297945,1.9960001,.87,.64925373,1.1794068,5,193,12,4.6911001,.0042997873,.41318768,1.0303086,71.828667,.68965518,45.835762,5,360,-.0022069332,-.0011983166,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,13,2,138,.00028852213,.96551061,-8.1156406,1.299,.55000001,.64705884,.910317,5,163,12.3,1.868,.0090339333,.031937599,2.2861454,71.111008,1.575493,44.954311,10,355,-.00035893923,-.00019489617,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,13,3,141,.00021146536,.96551061,-8.4263515,1.755,.66000003,.66000003,1.0788082,5,171,11.7,2.4949999,.0091485372,.023114664,2.1176543,70.942513,1.5625517,44.941372,10,355,-.00026309615,-.00014285548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,13,4,147,.000022743186,.96551061,-10.656147,2.9719999,1.3,.91549295,1.2073373,5,220,9,4.48,.0042755939,.0053193048,1.9891251,70.813988,1.3070588,44.685879,10,355,-.000028301441,-.000015367066,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,14,1,149,.00029991247,.96551061,-8.0769215,1.235,.40000001,.5714286,.81281072,4,150,,1.5395,.0077315704,.038790628,3.1089571,70.483208,2.124469,44.556599,15,352,-.00037310526,-.00020258802,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,14,2,150,.00033718429,.96551061,-7.9597826,1.392,.55000001,.59139788,.90612113,5,170,12.5,1.8795,.0090339333,.037324194,3.0156465,70.3899,2.1044998,44.536633,14,351,-.00041945753,-.00022775629,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,14,3,154,.00039566142,.96551061,-7.7998533,1.597,.66000003,.61395353,1.032933,5,180,11.2,2.5645001,.0091485372,.043248601,2.8888347,70.263084,2.081944,44.514076,14,351,-.00049217435,-.00026723993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,14,5,155,.000026294074,.96551061,-10.511068,2.96,1.25,.91911763,1.1699028,5,220,8.6999998,4.3245001,.0042997873,.0061152033,2.7518649,70.126114,1.7767799,44.208912,14,351,-.000032720021,-.000017766259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,15,1,164,.00097769441,.96551061,-6.895215,1.1950001,.33000001,.43137255,.77037811,5,143,17.5,1.604,.0077315704,.12645483,6.7364135,66.94062,3.9466605,43.014519,30,335,-.0012154733,-.00065997551,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,15,2,177,.00039848711,.96551061,-7.792737,1.388,.44,.47311828,.96507448,5,160,16,1.9974999,.0090339333,.044110034,6.5417171,66.745926,3.9049149,42.972775,30,335,-.00049568788,-.00026914771,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,15,3,166,.0019694923,.96551061,-6.1948814,1.598,.55000001,.55555558,1.05434,5,176,14,2.6600001,.0091485372,.21527947,6.4524517,66.656662,3.8224776,42.890335,30,335,-.0024460494,-.0013281514,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,15,4,168,.00089223555,.96551061,-6.9866824,1.998,.85000002,.66666669,1.1995379,5,195,11.8,3.4465001,.0042755939,.20868108,6.3072538,66.511459,3.7113664,42.779224,30,335,-.0011093254,-.00060233951,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,15,4,239,.000022405602,.96551061,-10.671102,1.985,.93000001,.77499998,1.1231064,5,175,11.5,3.7950001,.0042755939,.0052403486,6.3836851,66.587891,3.6030331,42.670891,30,335,-.000027881362,-.000015138972,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,15,5,169,.000070955241,.96551061,-9.518363,2.5940001,1.1,.75601375,1.236444,5,213,10.3,4.7150002,.0042997873,.016502036,6.2703476,66.474556,3.6220193,42.68988,30,335,-.000088291883,-.000047940568,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,15,5,240,.000045911478,.96551061,-9.9536972,1.985,.94,.72030652,1.1579106,5,185,9,4.23,.0042997873,.010677616,6.3488808,66.553085,3.6577268,42.725586,30,335,-.000057130557,-.000031020645,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,16,1,27,.00021097774,.96551061,-8.4286594,1.124,.44,.68217051,.7340374,5,158,14.8,1.589,.0077315704,.027287826,7.0795088,66.670204,4.2991343,42.16045,35,330,-.0002624896,-.00014252614,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,16,1,178,.00065427605,.96551061,-7.2968831,1.124,.44,.57516342,.7947225,5,164,13.9,1.744,.0077315704,.084623955,7.0188236,66.60952,4.4061413,42.267456,35,330,-.00081366173,-.0004418006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,16,2,179,.00017106776,.96551061,-8.6383524,1.124,.44,.52694613,.91100699,5,152,15.4,1.849,.0090339333,.018936133,6.9025393,66.493233,4.4543586,42.315674,35,330,-.00021284379,-.00011556954,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,16,3,28,.00014517379,.96551061,-8.8024807,1.36,.55000001,.6111111,.96875519,5,170,12.2,2.1289999,.0091485372,.015868526,6.8447909,66.435486,4.3701935,42.23151,35,330,-.000180631,-.000098078694,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,16,3,38,.000036346588,.96551061,-10.187312,1.36,.55000001,.58201057,.95952284,5,172,13.7,1.99,.0091485372,.0039729397,6.8540235,66.444717,4.3992939,42.260609,35,330,-.00004522879,-.000024558247,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,16,3,180,.00025417603,.96551061,-8.2423849,1.58,.64999998,.63725489,1.0626225,5,180,11.6,2.4649999,.0091485372,.027783243,6.7509236,66.341621,4.3440499,42.205364,35,330,-.00031622144,-.00017170135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,16,4,29,.00010197549,.96551061,-9.1556797,1.998,.88999999,.6793893,1.1751685,5,201,11.9,3.895,.0042755939,.023850603,6.6383777,66.229073,4.3019152,42.163231,35,330,-.00012688743,-.000068897112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,16,4,182,.000081057762,.96551061,-9.3852501,1.998,.88999999,.68725866,1.20771,5,199,10.7,3.9649999,.0042755939,.018958246,6.6058359,66.196533,4.2940459,42.155361,35,330,-.00010086175,-.000054765733,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,18,1,197,.000086034008,.96551061,-9.3256693,1.39,.43000001,.60139859,.77845562,5,158,14,1.528,.0077315704,.011127624,4.1384935,69.522385,2.2008061,44.420322,20,345,-.00010705326,-.000058127589,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,18,1,203,.00072828209,.96551061,-7.189724,1.171,.40000001,.4848485,.83583516,5,155,15,1.675,.0077315704,.09419588,4.0811143,69.465004,2.3173561,44.536873,20,345,-.00090562901,-.00049173681,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,18,2,198,.00066664169,.96551061,-7.2781596,1.39,.43000001,.47777778,.98826677,5,162,14.8,1.9400001,.0090339333,.073793069,3.9286826,69.312576,2.3244269,44.543941,20,345,-.00082902948,-.00045014493,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,18,3,199,.00013859716,.96551061,-8.8488407,1.721,.54000002,.54822338,1.1101453,5,172,12.5,2.4300001,.0091485372,.015149652,3.8068039,69.190697,2.2539811,44.473499,20,345,-.00017244922,-.000093636168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,18,4,200,.000038397098,.96551061,-10.13243,2.165,.79000002,.68995637,1.2042464,5,187,11.6,3.2850001,.0042755939,.0089805294,3.7127028,69.096596,2.1122482,44.331764,20,345,-.000047780297,-.00002594366,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,24,1,263,.000037771944,.96551061,-10.148846,.79500002,.28999999,.46031743,.65374649,4,133,,1.1289999,.0077315704,.0048854169,.79176033,73.118538,.6470589,46.256233,5,362,-.000047002402,-.00002552128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,24,1,264,.00013633409,.96551061,-8.865304,.99299997,.44,.64705884,.79176039,5,146,,1.479,.0077315704,.017633427,.65374643,72.980522,.46031749,46.069489,4,361,-.00016963379,-.000092107446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
